,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
South Dakota,1123,977,790,1162,394,1400,1322,1256,1299,1121,791,632,792,390,439,907,1085,1503,1280,1471,797,357,995,581,587,307,1061,1429,1332,670,1328,1283,169,936,633,1113,1226,1461,1257,0,909,982,640,1365,1277,1101,1052,553,318
Tennessee,265,1441,329,1900,1014,849,649,567,420,214,1633,294,252,524,526,175,468,1058,595,943,467,691,330,340,1484,624,1805,943,709,1071,824,455,1028,335,603,1978,607,911,364,909,0,751,1392,933,523,1989,321,497,1028
Texas,691,868,438,1462,767,1600,1398,1316,802,816,1367,799,925,812,615,914,395,1806,1344,1694,1125,1043,466,653,1360,729,1385,1692,1461,603,1572,1167,1151,1067,357,1701,1359,1663,1018,982,751,0,1074,1676,1262,1768,1072,996,846
Utah,1531,500,1145,529,378,2021,1918,1845,1699,1581,294,1174,1356,952,868,1449,1364,2138,1870,2098,1411,993,1335,1059,402,796,429,2060,1938,479,1954,1825,694,1517,864,630,1829,2084,1756,640,1392,1074,0,1999,1848,695,1615,1166,373
Vermont,1106,2225,1239,2526,1676,173,384,436,1148,963,2147,927,762,1078,1242,763,1390,141,418,155,610,1008,1258,1087,1900,1246,2425,88,301,1850,127,666,1368,609,1448,2442,353,179,834,1365,933,1676,1999,0,531,2396,622,843,1639
Virginia,613,1954,852,2372,1481,388,155,98,625,469,2057,674,493,903,992,406,921,619,113,476,517,958,805,803,1862,1052,2273,502,236,1579,404,135,1347,342,1120,2389,192,438,308,1277,523,1262,1848,531,0,2377,233,735,1475
Washington,2168,1091,1792,590,1031,2462,2413,2351,2343,2194,401,1728,1893,1486,1471,2006,2038,2523,2373,2522,1882,1429,1993,1650,515,1366,568,2471,2413,1174,2384,2383,1041,2035,1532,146,2312,2519,2348,1101,1989,1768,695,2396,2377,0,2152,1645,983
West Virginia,490,1727,645,2138,1247,528,334,252,566,353,1827,441,261,672,759,176,768,742,280,622,338,746,638,571,1638,819,2039,625,389,1351,508,239,1131,135,899,2161,286,590,301,1052,321,1072,1615,622,233,2152,0,521,1242
Wisconsin,760,1389,599,1695,833,855,770,706,916,697,1343,228,283,240,431,413,878,983,728,932,246,225,745,344,1131,406,1594,897,779,1019,789,760,612,394,682,1665,673,918,774,553,497,996,1166,843,735,1645,521,0,800
Wyoming,1188,660,809,901,95,1654,1545,1472,1361,1224,607,801,983,580,502,1077,1062,1779,1497,1732,1043,645,1010,691,521,423,801,1696,1567,383,1588,1455,439,1144,556,955,1457,1717,1392,318,1028,846,373,1639,1475,983,1242,800,0
